Title,Duration,Artist,Album,Scrobles,Year,Added_Date,Genre,Released_Date
Good Bait (1945),3:01,Dizzy Gillespie and His Quintet,Bebop,4,1997,12.11.2018 21:20,Джаз,04.11.1997
"Князь Игорь, акт 2: Половецкая пляска с хором",7:55,"Государственный симфонический оркестр ""Классика"" & Александр Канторов",Альбом классических танцев,2,2006,12.11.2018 20:49,Классическая музыка,14.03.2006
"Человеческая комедия, Op. 37: Вальс",2:25,Академический симфонический оркестр Санкт-Петербургской филармонии & Владимир Альтшулер,Альбом классических танцев,2,2006,12.11.2018 20:34,Классическая музыка,14.03.2006
"Щелкунчик, соч. 71, 2 акт: 12. Дивертисмент: 5. Танец пастушков",2:40,Государственный симфонический оркестр Санкт-Петербурга & Андрей Аниханов,Альбом классических танцев,1,2017,12.11.2018 20:19,Классическая музыка,17.02.2017
"Щелкунчик, соч. 71, 2 акт: 13. Вальс цветов",6:48,Государственный симфонический оркестр Санкт-Петербурга & Андрей Аниханов,Альбом классических танцев,3,2017,12.11.2018 20:19,Классическая музыка,17.02.2017
"Славянские танцы, Op.46",3:42,"Государственный симфонический оркестр ""Классика"" & Александр Канторов",Альбом классических танцев,1,2012,12.11.2018 20:06,Классическая музыка,23.03.2012
Heartless,3:31,Kanye West,808s & Heartbreak,3,2008,12.11.2018 16:01,Хип-хоп/рэп,04.11.2008
Welcome To Heartbreak (feat. Kid Cudi),4:23,Kanye West,808s & Heartbreak,2,2008,12.11.2018 15:59,Хип-хоп/рэп,24.11.2008
Sly (with Sly5thAve),4:59,Jesse Fischer,Vein Melter (with Sly5thAve) - EP,4,2014,07.11.2018 22:36,Электронная музыка,04.12.2014
"What'd I Say, Pt. 1",5:07,Ray Charles,What'd I Say,2,1959,07.11.2018 22:36,R&B и соул,01.06.1959
"Fingertips, Pt. 2 (Live At the Regal Theater 1963, Single Version)",3:11,Stevie Wonder,The Definitive Collection,3,1963,07.11.2018 22:22,R&B и соул,21.05.1963
